Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Allocasuarina luehmannii,CGAIN,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
Beta maritima subsp. marcosii,CGAIN,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,CGAIN,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,CGAIN,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,CGAIN,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,CGAIN,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,CGAIN,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,CGAIN,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,CGAIN,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,CGAIN,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
Eucalyptus populnea,CGAIN,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,populnea,NA,1603
Ficus tikoua,CGAIN,FALSE,FALSE,Liu et al. (2011),Ficus,tikoua,NA,1621
Glycine max,CGAIN,FALSE,TRUE,Liu et al. (2005),Glycine,max,NA,1604
Helianthus annuus,CGAIN,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622
Hypericum balearicum,CGAIN,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,CGAIN,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,CGAIN,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Lysimachia minoricensis,CGAIN,FALSE,TRUE,Galmes et al. (2007),Lysimachia,minoricensis,NA,1633
Malva subovata,CGAIN,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Olea europaea var. Chemlali,CGAIN,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Chemlali,1635
Olea europaea var. Meski,CGAIN,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,CGAIN,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,CGAIN,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,CGAIN,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,CGAIN,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,CGAIN,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,CGAIN,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,CGAIN,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,CGAIN,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,CGAIN,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,CGAIN,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,CGAIN,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,CGAIN,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,CGAIN,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,CGAIN,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,CGAIN,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,CGAIN,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,CGAIN,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
Sequoia sempervirens,CGAIN,FALSE,FALSE,Simonin et al. (2009),Sequoia,sempervirens,NA,1636
Allocasuarina luehmannii,PMAX3,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
Beta maritima subsp. marcosii,PMAX3,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,PMAX3,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,PMAX3,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,PMAX3,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,PMAX3,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,PMAX3,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,PMAX3,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,PMAX3,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,PMAX3,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
